GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coverage,gi.gyak,Simple,9,8,2,1,2,3,2,2,0,2
coverage,gi.gyak,Complex,17,9,5,1,5,3,3,2,0,2
